,wavfile,duration,duration_0_spk,duration_1_spk,duration_2_spk,duration_3_spk,n_spk,speakers,sex,session,location,transcription
58,S01_P04_17_output.wav,4.67,0.53,2.43,1.21,0.50,3,P01 P02 P03,FM,S01,dining,"(P03) Mm yeah. There was a cabin. (P02) Oh. (P01) Oh okay. (P03) So you can just get a spot on the (P01) Oh I didn't know they have cabins, oh that's cool. (P03) Mhm. "
45,S01_P04_4_output.wav,4.99,1.78,3.15,0.06,0.00,2,P01 P03,FM,S01,dining,"(P03) It's really good.  I really like Louise, she's a really good teacher. (P01) Mm. "
61,S01_P04_20_output.wav,4.99,1.30,3.01,0.68,0.00,2,P02 P03,FM,S01,dining,(P03) Yeah it's good for like uphill. (P02) Mhm. (P03) Climbs. But 
2,S01_P01_3_output.wav,4.78,1.49,3.28,0.01,0.00,2,P03 P04,FM,S01,dining,(P03) Hmm.  What did you study there? (P04) Um I did psychology. 
15,S01_P02_1_output.wav,4.00,0.58,2.72,0.38,0.32,3,P01 P03 P04,FM,S01,dining,"(P01) Anytime someone's like ""Oh who's free"", like after work. (P04) Mhm. (P03) Mhm. (P01) We'll go and most of us in that one group chat live around "
63,S01_P04_22_output.wav,4.64,0.66,2.19,1.79,0.00,2,P02 P03,FM,S01,dining,(P02) But I think they're catching up a little bit. (P03) They've had better branding and public image than Uber has. But (P02) Yeah. Yeah. Yeah. 
60,S01_P04_19_output.wav,4.99,1.31,3.44,0.24,0.00,2,P01 P03,FM,S01,dining,"(P03) I saw other people doing snowshoeing. (P01) Mm. (P03) But I'd never done snowshoeing before, so. "
31,S01_P03_6_output.wav,4.22,0.63,2.61,0.98,0.00,2,P01 P02,F,S01,dining,(P01) Yeah I didn't know Xiang um was also taking lessons as well.  You guys should play together. (P02) He is? (P01) Yeah. So we have this one coworker (P02) Oh I didn't know that. 
30,S01_P03_3_output.wav,4.99,1.89,2.54,0.56,0.00,2,P01 P02,F,S01,dining,"(P01) All right, shall we uh (P02) Okay guys.  Can you pass it. (P01) Oh okay. "
67,S01_P04_26_output.wav,4.42,0.98,2.03,1.41,0.00,2,P01 P02 P03,FM,S01,living,(P01) Mustache.  Bacon. (P03) [laughs] (P02) [noise] Wishbone. Bro. 
75,S01_P04_36_output.wav,4.99,1.04,0.87,1.58,1.50,3,P01 P02 P03,FM,S01,living,"(P01) Uh I don't know this, skip skip. (P03) Oh I know this name. But like skip (P02) Oh I don't know. "
22,S01_P02_8_output.wav,4.99,1.52,3.01,0.46,0.00,2,P01 P03 P04,FM,S01,living,(P04) [noise] Superman.  No I don't know what that is. (P03) Frog. (P01) Aw man. 
92,S01_P04_54_output.wav,4.99,1.96,2.96,0.07,0.00,2,P02 P03,FM,S01,kitchen,(P03) I'll keep the dressing in case. There's a little bit here. (P02) Okay. 
82,S01_P04_43_output.wav,4.99,0.69,3.22,1.08,0.00,2,P01 P03,FM,S01,kitchen,"(P03) What are we all drinking? Is there any, is it just water or we have anything else? (P01) We do have a bottle of "
86,S01_P04_47_output.wav,4.30,1.19,1.69,1.42,0.00,2,P01 P03,FM,S01,kitchen,"(P01) Yeah. (P03) K [inaudible 0:11:07.70] salad. (P01) And there's uh dressing as well I think. (P03) Ooh, great. "
85,S01_P04_46_output.wav,4.46,0.80,2.25,0.64,0.77,3,P01 P02 P03,FM,S01,kitchen,"(P01) I guess we're almost done, there's also salad as well if you wanna  toss it. [laughs] (P03) Oh. Into a bowl you mean? (P02) Do you want a bit more? (P01) Yeah.  Yeah. "
137,S21_P46_1_output.wav,4.00,0.97,2.48,0.55,0.00,2,P45 P47 P48,FM,S21,dining,"(P45) They're not gonna make fun. (P47) Well, maybe they should put a parental something. (P48) [noise] [laughs] [noise] "
138,S21_P46_2_output.wav,4.39,0.72,1.72,1.63,0.32,3,P45 P47 P48,FM,S21,dining,"(P47) Mhm. (P48) [noise] (P45) [noise] W- Where is it? (P48) Group, I think they'll be really good with be with beginners. (P47) [noise] It's on Cordova. "
176,S21_P47_6_output.wav,4.43,0.86,2.60,0.97,0.00,2,P45 P46 P48,FM,S21,living,"(P46) Basing this on Will Wheaton. (P48) Oh, it was that the tutorial you watched? (P46) Yeah. (P45) Will Wheaton. "
108,S21_P45_12_output.wav,4.99,1.94,2.47,0.58,0.00,2,P46 P47,FM,S21,living,"(P47) Sushi Go, right?  Sushi Go, yeah? Okay. (P46) Yeah. "
178,S21_P47_9_output.wav,4.63,0.81,3.48,0.34,0.00,2,P45 P46 P48,FM,S21,living,"(P45) Hmm.  Yeah, well. (P48) I don't know why I'm doing this. (P46) Okay. "
104,S21_P45_7_output.wav,4.16,0.63,0.27,1.61,1.65,3,P46 P47 P48,FM,S21,living,"(P46) Oh! (P47) You guys are all fighting for sashimi. (P48) Competition, competition. (P46) Who's going to get it first? "
