,subset,session,file,scale
0,2,0,data_normalized/ref/i02_f1.wav,BAK
1,2,0,data_normalized/ref/i02_f1.wav,SIG
2,2,0,data_normalized/ref/i02_f1.wav,OVRL
3,2,0,data_normalized/ref/i02_m2.wav,BAK
4,2,0,data_normalized/ref/i02_m2.wav,SIG
5,2,0,data_normalized/ref/i02_m2.wav,OVRL
6,2,0,data_normalized/ref/i10_m2.wav,BAK
7,2,0,data_normalized/ref/i10_m2.wav,SIG
8,2,0,data_normalized/ref/i10_m2.wav,OVRL
9,2,0,data_normalized/ref/i11_m2.wav,BAK
10,2,0,data_normalized/ref/i11_m2.wav,SIG
11,2,0,data_normalized/ref/i11_m2.wav,OVRL
12,2,0,data_normalized/ref/i02_m1.wav,BAK
13,2,0,data_normalized/ref/i02_m1.wav,SIG
14,2,0,data_normalized/ref/i02_m1.wav,OVRL
15,2,0,data_normalized/ref/i05_f1.wav,BAK
16,2,0,data_normalized/ref/i05_f1.wav,SIG
17,2,0,data_normalized/ref/i05_f1.wav,OVRL
18,2,0,data_normalized/ref/i11_f2.wav,BAK
19,2,0,data_normalized/ref/i11_f2.wav,SIG
20,2,0,data_normalized/ref/i11_f2.wav,OVRL
21,2,0,data_normalized/ref/i05_f2.wav,BAK
22,2,0,data_normalized/ref/i05_f2.wav,SIG
23,2,0,data_normalized/ref/i05_f2.wav,OVRL
24,2,0,data_normalized/ref/i09_m1.wav,BAK
25,2,0,data_normalized/ref/i09_m1.wav,SIG
26,2,0,data_normalized/ref/i09_m1.wav,OVRL
27,2,0,data_normalized/ref/i03_f2.wav,BAK
28,2,0,data_normalized/ref/i03_f2.wav,SIG
29,2,0,data_normalized/ref/i03_f2.wav,OVRL
30,2,0,data_normalized/ref/i01_m2.wav,BAK
31,2,0,data_normalized/ref/i01_m2.wav,SIG
32,2,0,data_normalized/ref/i01_m2.wav,OVRL
33,2,0,data_normalized/ref/i04_f2.wav,BAK
34,2,0,data_normalized/ref/i04_f2.wav,SIG
35,2,0,data_normalized/ref/i04_f2.wav,OVRL
36,2,0,data_normalized/ref/i12_m2.wav,BAK
37,2,0,data_normalized/ref/i12_m2.wav,SIG
38,2,0,data_normalized/ref/i12_m2.wav,OVRL
39,2,0,data_normalized/ref/i09_f2.wav,BAK
40,2,0,data_normalized/ref/i09_f2.wav,SIG
41,2,0,data_normalized/ref/i09_f2.wav,OVRL
42,2,0,data_normalized/ref/i10_f1.wav,BAK
43,2,0,data_normalized/ref/i10_f1.wav,SIG
44,2,0,data_normalized/ref/i10_f1.wav,OVRL
45,2,0,data_normalized/ref/i07_f1.wav,BAK
46,2,0,data_normalized/ref/i07_f1.wav,SIG
47,2,0,data_normalized/ref/i07_f1.wav,OVRL
48,2,0,data_normalized/ref/i06_f2.wav,BAK
49,2,0,data_normalized/ref/i06_f2.wav,SIG
50,2,0,data_normalized/ref/i06_f2.wav,OVRL
51,2,0,data_normalized/ref/i12_f1.wav,BAK
52,2,0,data_normalized/ref/i12_f1.wav,SIG
53,2,0,data_normalized/ref/i12_f1.wav,OVRL
54,2,0,data_normalized/ref/i07_m2.wav,BAK
55,2,0,data_normalized/ref/i07_m2.wav,SIG
56,2,0,data_normalized/ref/i07_m2.wav,OVRL
57,2,0,data_normalized/ref/i01_f2.wav,BAK
58,2,0,data_normalized/ref/i01_f2.wav,SIG
59,2,0,data_normalized/ref/i01_f2.wav,OVRL
60,2,0,data_normalized/ref/i04_m2.wav,BAK
61,2,0,data_normalized/ref/i04_m2.wav,SIG
62,2,0,data_normalized/ref/i04_m2.wav,OVRL
63,2,0,data_normalized/ref/i07_f2.wav,BAK
64,2,0,data_normalized/ref/i07_f2.wav,SIG
65,2,0,data_normalized/ref/i07_f2.wav,OVRL
66,2,0,data_normalized/ref/i03_m2.wav,BAK
67,2,0,data_normalized/ref/i03_m2.wav,SIG
68,2,0,data_normalized/ref/i03_m2.wav,OVRL
69,2,0,data_normalized/ref/i08_f2.wav,BAK
70,2,0,data_normalized/ref/i08_f2.wav,SIG
71,2,0,data_normalized/ref/i08_f2.wav,OVRL
72,2,0,data_normalized/ref/i03_m1.wav,SIG
73,2,0,data_normalized/ref/i03_m1.wav,BAK
74,2,0,data_normalized/ref/i03_m1.wav,OVRL
75,2,0,data_normalized/ref/i05_m2.wav,SIG
76,2,0,data_normalized/ref/i05_m2.wav,BAK
77,2,0,data_normalized/ref/i05_m2.wav,OVRL
78,2,0,data_normalized/ref/i02_f2.wav,SIG
79,2,0,data_normalized/ref/i02_f2.wav,BAK
80,2,0,data_normalized/ref/i02_f2.wav,OVRL
81,2,0,data_normalized/ref/i10_f2.wav,SIG
82,2,0,data_normalized/ref/i10_f2.wav,BAK
83,2,0,data_normalized/ref/i10_f2.wav,OVRL
84,2,0,data_normalized/ref/i01_f1.wav,SIG
85,2,0,data_normalized/ref/i01_f1.wav,BAK
86,2,0,data_normalized/ref/i01_f1.wav,OVRL
87,2,0,data_normalized/ref/i04_m1.wav,SIG
88,2,0,data_normalized/ref/i04_m1.wav,BAK
89,2,0,data_normalized/ref/i04_m1.wav,OVRL
90,2,0,data_normalized/ref/i06_m2.wav,SIG
91,2,0,data_normalized/ref/i06_m2.wav,BAK
92,2,0,data_normalized/ref/i06_m2.wav,OVRL
93,2,0,data_normalized/ref/i03_f1.wav,SIG
94,2,0,data_normalized/ref/i03_f1.wav,BAK
95,2,0,data_normalized/ref/i03_f1.wav,OVRL
96,2,0,data_normalized/ref/i12_f2.wav,SIG
97,2,0,data_normalized/ref/i12_f2.wav,BAK
98,2,0,data_normalized/ref/i12_f2.wav,OVRL
