,subset,session,file,scale
0,4,0,data/ref/i07_f2.wav,BAK
1,4,0,data/ref/i07_f2.wav,SIG
2,4,0,data/ref/i07_f2.wav,OVRL
3,4,0,data/ref/i07_m2.wav,BAK
4,4,0,data/ref/i07_m2.wav,SIG
5,4,0,data/ref/i07_m2.wav,OVRL
6,4,0,data/ref/i08_m1.wav,BAK
7,4,0,data/ref/i08_m1.wav,SIG
8,4,0,data/ref/i08_m1.wav,OVRL
9,4,0,data/ref/i05_m1.wav,BAK
10,4,0,data/ref/i05_m1.wav,SIG
11,4,0,data/ref/i05_m1.wav,OVRL
12,4,0,data/ref/i09_f2.wav,BAK
13,4,0,data/ref/i09_f2.wav,SIG
14,4,0,data/ref/i09_f2.wav,OVRL
15,4,0,data/ref/i06_m2.wav,BAK
16,4,0,data/ref/i06_m2.wav,SIG
17,4,0,data/ref/i06_m2.wav,OVRL
18,4,0,data/ref/i05_f2.wav,BAK
19,4,0,data/ref/i05_f2.wav,SIG
20,4,0,data/ref/i05_f2.wav,OVRL
21,4,0,data/ref/i08_f2.wav,BAK
22,4,0,data/ref/i08_f2.wav,SIG
23,4,0,data/ref/i08_f2.wav,OVRL
24,4,0,data/ref/i12_f2.wav,BAK
25,4,0,data/ref/i12_f2.wav,SIG
26,4,0,data/ref/i12_f2.wav,OVRL
27,4,0,data/ref/i08_f1.wav,BAK
28,4,0,data/ref/i08_f1.wav,SIG
29,4,0,data/ref/i08_f1.wav,OVRL
30,4,0,data/ref/i09_m1.wav,BAK
31,4,0,data/ref/i09_m1.wav,SIG
32,4,0,data/ref/i09_m1.wav,OVRL
33,4,0,data/ref/i04_m2.wav,BAK
34,4,0,data/ref/i04_m2.wav,SIG
35,4,0,data/ref/i04_m2.wav,OVRL
36,4,0,data/ref/i11_f1.wav,BAK
37,4,0,data/ref/i11_f1.wav,SIG
38,4,0,data/ref/i11_f1.wav,OVRL
39,4,0,data/ref/i01_m1.wav,BAK
40,4,0,data/ref/i01_m1.wav,SIG
41,4,0,data/ref/i01_m1.wav,OVRL
42,4,0,data/ref/i03_m1.wav,BAK
