,subset,session,file,scale
0,1,0,data/ref/i04_f1.wav,SIG
1,1,0,data/ref/i04_f1.wav,BAK
2,1,0,data/ref/i04_f1.wav,OVRL
3,1,0,data/ref/i04_m1.wav,SIG
4,1,0,data/ref/i04_m1.wav,BAK
5,1,0,data/ref/i04_m1.wav,OVRL
6,1,0,data/ref/i10_f2.wav,SIG
7,1,0,data/ref/i10_f2.wav,BAK
8,1,0,data/ref/i10_f2.wav,OVRL
9,1,0,data/ref/i09_m2.wav,SIG
10,1,0,data/ref/i09_m2.wav,BAK
11,1,0,data/ref/i09_m2.wav,OVRL
12,1,0,data/ref/i04_m2.wav,SIG
13,1,0,data/ref/i04_m2.wav,BAK
14,1,0,data/ref/i04_m2.wav,OVRL
15,1,0,data/ref/i07_m1.wav,SIG
16,1,0,data/ref/i07_m1.wav,BAK
17,1,0,data/ref/i07_m1.wav,OVRL
18,1,0,data/ref/i09_f1.wav,SIG
19,1,0,data/ref/i09_f1.wav,BAK
20,1,0,data/ref/i09_f1.wav,OVRL
21,1,0,data/ref/i01_m2.wav,SIG
22,1,0,data/ref/i01_m2.wav,BAK
23,1,0,data/ref/i01_m2.wav,OVRL
24,1,0,data/ref/i02_m2.wav,SIG
25,1,0,data/ref/i02_m2.wav,BAK
26,1,0,data/ref/i02_m2.wav,OVRL
27,1,0,data/ref/i06_f2.wav,SIG
28,1,0,data/ref/i06_f2.wav,BAK
29,1,0,data/ref/i06_f2.wav,OVRL
30,1,0,data/ref/i05_f1.wav,SIG
31,1,0,data/ref/i05_f1.wav,BAK
32,1,0,data/ref/i05_f1.wav,OVRL
33,1,0,data/ref/i12_f2.wav,SIG
34,1,0,data/ref/i12_f2.wav,BAK
35,1,0,data/ref/i12_f2.wav,OVRL
36,1,0,data/ref/i09_f2.wav,SIG
37,1,0,data/ref/i09_f2.wav,BAK
38,1,0,data/ref/i09_f2.wav,OVRL
39,1,0,data/ref/i02_m1.wav,SIG
40,1,0,data/ref/i02_m1.wav,BAK
41,1,0,data/ref/i02_m1.wav,OVRL
42,1,0,data/ref/i05_f2.wav,SIG
43,1,0,data/ref/i05_f2.wav,BAK
44,1,0,data/ref/i05_f2.wav,OVRL
45,1,0,data/ref/i03_f2.wav,SIG
46,1,0,data/ref/i03_f2.wav,BAK
47,1,0,data/ref/i03_f2.wav,OVRL
48,1,0,data/ref/i08_m1.wav,SIG
49,1,0,data/ref/i08_m1.wav,BAK
50,1,0,data/ref/i08_m1.wav,OVRL
51,1,0,data/ref/i02_f2.wav,SIG
52,1,0,data/ref/i02_f2.wav,BAK
53,1,0,data/ref/i02_f2.wav,OVRL
54,1,0,data/ref/i11_m1.wav,SIG
55,1,0,data/ref/i11_m1.wav,BAK
56,1,0,data/ref/i11_m1.wav,OVRL
57,1,0,data/ref/i06_f1.wav,SIG
58,1,0,data/ref/i06_f1.wav,BAK
59,1,0,data/ref/i06_f1.wav,OVRL
60,1,0,data/ref/i01_f2.wav,SIG
61,1,0,data/ref/i01_f2.wav,BAK
62,1,0,data/ref/i01_f2.wav,OVRL
63,1,0,data/ref/i05_m2.wav,SIG
64,1,0,data/ref/i05_m2.wav,BAK
65,1,0,data/ref/i05_m2.wav,OVRL
66,1,0,data/ref/i10_m2.wav,SIG
67,1,0,data/ref/i10_m2.wav,BAK
68,1,0,data/ref/i10_m2.wav,OVRL
69,1,0,data/ref/i01_m1.wav,SIG
70,1,0,data/ref/i01_m1.wav,BAK
71,1,0,data/ref/i01_m1.wav,OVRL
72,1,0,data/ref/i06_m1.wav,BAK
73,1,0,data/ref/i06_m1.wav,SIG
74,1,0,data/ref/i06_m1.wav,OVRL
75,1,0,data/ref/i10_f1.wav,BAK
76,1,0,data/ref/i10_f1.wav,SIG
77,1,0,data/ref/i10_f1.wav,OVRL
78,1,0,data/ref/i07_f2.wav,BAK
79,1,0,data/ref/i07_f2.wav,SIG
80,1,0,data/ref/i07_f2.wav,OVRL
81,1,0,data/ref/i08_f1.wav,BAK
82,1,0,data/ref/i08_f1.wav,SIG
83,1,0,data/ref/i08_f1.wav,OVRL
84,1,0,data/ref/i03_m1.wav,BAK
85,1,0,data/ref/i03_m1.wav,SIG
86,1,0,data/ref/i03_m1.wav,OVRL
87,1,0,data/ref/i11_m2.wav,BAK
88,1,0,data/ref/i11_m2.wav,SIG
89,1,0,data/ref/i11_m2.wav,OVRL
90,1,0,data/ref/i02_f1.wav,BAK
91,1,0,data/ref/i02_f1.wav,SIG
92,1,0,data/ref/i02_f1.wav,OVRL
93,1,0,data/ref/i03_f1.wav,BAK
94,1,0,data/ref/i03_f1.wav,SIG
95,1,0,data/ref/i03_f1.wav,OVRL
96,1,0,data/ref/i01_f1.wav,BAK
97,1,0,data/ref/i01_f1.wav,SIG
98,1,0,data/ref/i01_f1.wav,OVRL
99,1,0,data/ref/i05_m1.wav,BAK
100,1,0,data/ref/i05_m1.wav,SIG
101,1,0,data/ref/i05_m1.wav,OVRL
102,1,0,data/ref/i07_f1.wav,BAK
103,1,0,data/ref/i07_f1.wav,SIG
104,1,0,data/ref/i07_f1.wav,OVRL
105,1,0,data/ref/i04_f2.wav,BAK
106,1,0,data/ref/i04_f2.wav,SIG
107,1,0,data/ref/i04_f2.wav,OVRL
108,1,0,data/ref/i03_m2.wav,BAK
109,1,0,data/ref/i03_m2.wav,SIG
110,1,0,data/ref/i03_m2.wav,OVRL
111,1,0,data/ref/i09_m1.wav,BAK
112,1,0,data/ref/i09_m1.wav,SIG
113,1,0,data/ref/i09_m1.wav,OVRL
114,1,0,data/ref/i06_m2.wav,BAK
115,1,0,data/ref/i06_m2.wav,SIG
116,1,0,data/ref/i06_m2.wav,OVRL
117,1,0,data/ref/i07_m2.wav,BAK
118,1,0,data/ref/i07_m2.wav,SIG
119,1,0,data/ref/i07_m2.wav,OVRL
120,1,0,data/ref/i11_f1.wav,BAK
121,1,0,data/ref/i11_f1.wav,SIG
122,1,0,data/ref/i11_f1.wav,OVRL
123,1,0,data/ref/i08_f2.wav,BAK
124,1,0,data/ref/i08_f2.wav,SIG
125,1,0,data/ref/i08_f2.wav,OVRL
126,1,0,data/ref/i12_m1.wav,BAK
127,1,0,data/ref/i12_m1.wav,SIG
128,1,0,data/ref/i12_m1.wav,OVRL
129,1,0,data/ref/i08_m2.wav,BAK
130,1,0,data/ref/i08_m2.wav,SIG
131,1,0,data/ref/i08_m2.wav,OVRL
132,1,0,data/ref/i11_f2.wav,BAK
133,1,0,data/ref/i11_f2.wav,SIG
134,1,0,data/ref/i11_f2.wav,OVRL
135,1,0,data/ref/i10_m1.wav,BAK
