,wavfile,duration,duration_0_spk,duration_1_spk,duration_2_spk,duration_3_spk,n_spk,speakers,sex,session,location,transcription
21,S01_P02_1.wav,4.00,0.58,2.72,0.38,0.32,3,P01 P03 P04,FM,S01,dining,"(P01) Anytime someone's like ""Oh who's free"", like after work. (P04) Mhm. (P03) Mhm. (P01) We'll go and most of us in that one group chat live around "
55,S01_P04_2.wav,4.88,0.96,2.85,1.07,0.00,2,P01 P03,FM,S01,dining,"(P01) Yeah, if you want the real  the real sauce. [laughs] (P03) Real hot.  Hmm. (P01) I take a little bit of this. "
63,S01_P04_10.wav,4.78,1.40,3.01,0.37,0.00,2,P01 P03,FM,S01,dining,"(P03) Um.  And then the parade, I watched a little bit of it on Sunday. (P01) Oh nice. "
27,S01_P02_7.wav,4.81,1.28,1.99,1.54,0.00,2,P01 P03 P04,FM,S01,dining,(P03) Yeah. (P04) No it's kinda far like. (P03) Oh. (P01) Isn't it heavy? I feel like they don't really. 
2,S01_P01_2.wav,4.99,1.71,2.90,0.38,0.00,2,P03 P04,FM,S01,dining,(P04) Hmm hmm hmm. Can you pass the beans? (P03) Oh yeah. (P04) Thanks. 
64,S01_P04_11.wav,4.99,1.53,3.46,0.00,0.00,1,P01 P03,FM,S01,dining,"(P01) I've never been to the parade. (P03) It was pretty cool, it was actually just on um "
44,S01_P03_8.wav,4.99,1.82,3.17,0.00,0.00,1,P01,F,S01,dining,(P01) Yeah.  Yeah. And I know Jordan from Crossfit actually. 
49,S01_P03_13.wav,4.08,0.95,3.13,0.00,0.00,1,P01,F,S01,dining,"(P01) That was mostly why I did it, but.  Yeah and then now it it kinda picked up, so we like have a usual group. "
116,S01_P04_64.wav,4.27,1.11,3.16,0.00,0.00,1,P03,M,S01,dining,(P03) Other people. Right?  And then you just get some kind of like  Payback later 
80,S01_P04_27.wav,4.11,0.72,2.99,0.40,0.00,2,P01 P02 P03,FM,S01,living,(P02) Um I think we need to move. Little bit. (P03) Oh really? (P01) Oh. (P02) Yeah just move over a little bit. 
79,S01_P04_26.wav,4.42,0.98,2.03,1.41,0.00,2,P01 P02 P03,FM,S01,living,(P01) Mustache.  Bacon. (P03) [laughs] (P02) [noise] Wishbone. Bro. 
91,S01_P04_38.wav,4.10,0.84,3.20,0.06,0.00,2,P01 P03,FM,S01,living,(P03) Yeah. (P01) [noise] (P03) Do you wanna keep going? Another one? 
32,S01_P02_13.wav,4.00,0.93,1.51,1.10,0.46,3,P01 P03 P04,FM,S01,kitchen,"(P03) [laughs] (P01) This fridge is (P04) Okay, I'm gonna use this side. (P01) Oh here's another one, too. (P03) Okay. "
94,S01_P04_41.wav,4.99,1.72,2.81,0.46,0.00,2,P01 P02 P03,FM,S01,kitchen,"(P02) [inaudible 0:06:10.32] (P01) What's the bowl for again? (P03) I don't know. (P02) Here you go. (P01) Oh, okay. "
96,S01_P04_43.wav,4.99,0.69,3.22,1.08,0.00,2,P01 P03,FM,S01,kitchen,"(P03) What are we all drinking? Is there any, is it just water or we have anything else? (P01) We do have a bottle of "
206,S21_P47_0.wav,4.99,0.86,2.97,1.16,0.00,2,P45 P46,FM,S21,dining,"(P46) Is that was that one for the chips, Bennett? (P45) Hmm?  Y- uh, yeah. (P46) It's a ginormous bowl. "
186,S21_P46_21.wav,4.00,0.65,1.82,1.53,0.00,2,P45 P46 P47,M,S21,dining,"(P46) [laughs] That's why he hosted. (P47) Oh, wow. (P45) Yeah yeah. (P47) Are you (P45) Ulterior. (P47) So you can't do this again? "
134,S21_P45_15.wav,4.99,1.33,2.09,1.55,0.02,3,P46 P47 P48,FM,S21,living,(P48) Oh. (P47) Who's ready to reveal? (P46) Me. (P47) Me. (P48) Okay. 
171,S21_P46_6.wav,4.59,0.88,3.48,0.23,0.00,2,P45 P48,FM,S21,living,"(P45) You could play poker too, couldn't you? (P48) With these? (P45) No no.  No, just in general, for this thing. "
210,S21_P47_4.wav,4.72,1.14,3.58,0.00,0.00,1,P45 P46,FM,S21,living,"(P46) And that way you can learn. (P45) You can you can push it  Can you push it over that way, Wendy? (P46) Squid. Ooh. (P45) Push push push. "
168,S21_P46_3.wav,4.00,0.60,2.91,0.49,0.00,2,P45 P48,FM,S21,living,"(P45) Will Wheaton. (P48) Are we al- we we can't watch the YouTube video? (P45) Nope. (P48) No, okay. "
125,S21_P45_6.wav,4.99,0.88,2.28,0.98,0.85,3,P46 P47 P48,FM,S21,living,"(P48) Wh- so we should have. (P47) You should have one right now. (P46) I only have one card. (P48) Yeah, I have one card. (P47) Yeah. "
158,S21_P45_39.wav,4.00,0.86,3.14,0.00,0.00,1,P46 P48,F,S21,living,"(P48) How many wasabi cards are there, one? (P46) Uh, no, I think there's quite a few. "
193,S21_P46_28.wav,4.73,0.70,4.03,0.00,0.00,1,P46 P48,F,S21,living,"(P46) Some rocker guy, isn't it? (P48) The one of the lead singers from Good Charlotte. "
189,S21_P46_24.wav,4.69,1.52,3.17,0.00,0.00,1,P45,M,S21,living,(P45) Did I get some good  What!  Didn't give me diddly kwat.  Crap. 
